89    ,    0.733333333    2.501970736    229.8679216    42.22781526    19.8785436    20.9272869    ;
90    ,    0.741666667    2.520079316    235.3588819    41.86995242    19.6138308    20.87215853    ;
91    ,    0.75    2.501970736    227.0424614    42.22781526    19.8785436    20.9272869    ;
92    ,    0.758333333    2.410608184    239.3713216    42.22781526    19.6138308    20.89051704    ;
93    ,    0.766666667    2.516666017    221.0740872    42.22781526    20.0109    20.94569831    ;
94    ,    0.775    3.286825899    239.3713216    42.22781526    19.6138308    20.89051704    ;
95    ,    0.783333333    1.982862842    229.3613497    42.22781526    19.8785436    20.94569831    ;
96    ,    0.791666667    3.374941014    240.7454783    42.22781526    19.6138308    20.89051704    ;
97    ,    0.8    2.012445039    219.7748414    42.22781526    19.8785436    20.89051704    ;
98    ,    0.808333333    3.338542803    230.2974141    42.22781526    19.8785436    20.9272869    ;
99    ,    0.816666667    2.370209854    239.4950039    42.22781526    19.6138308    20.90889315    ;
100    ,    0.825    3.119350076    226.7947166    42.22781526    19.8785436    20.89051704    ;
101    ,    0.833333333    2.480368179    243.9736061    42.22781526    19.6138308    20.94569831    ;
102    ,    0.841666667    3.350519176    222.9874113    42.22781526    19.8785436    20.89051704    ;
103    ,    0.85    2.244937912    233.4060657    42.22781526    19.7461872    20.9272869    ;
104    ,    0.858333333    3.426679878    226.2166362    42.22781526    19.8785436    20.89051704    ;
105    ,    0.866666667    2.535447341    242.0975654    42.22781526    19.6138308    20.94569831    ;
106    ,    0.875    3.263207694    226.2720261    42.22781526    19.8785436    20.89051704    ;
107    ,    0.883333333    2.425289017    238.1642971    42.22781526    19.6138308    20.89051704    ;
108    ,    0.891666667    3.227712656    221.16934    42.22781526    20.0109    20.90889315    ;
109    ,    0.9    2.480368179    238.5220305    42.22781526    19.6138308    20.90889315    ;
110    ,    0.908333333    3.174484443    226.7947166    42.22781526    19.8785436    20.89051704    ;
111    ,    0.916666667    2.464895098    241.123767    42.22781526    19.6138308    20.9272869    ;
112    ,    0.925    3.470009974    228.218393    42.22781526    19.8785436    20.89051704    ;
113    ,    0.933333333    2.355423965    242.4516452    42.22781526    19.6138308    20.94569831    ;
114    ,    0.941666667    3.304470696    228.1623122    42.22781526    19.8785436    20.89051704    ;
115    ,    0.95    2.464895098    243.3468195    42.22781526    19.6138308    20.94569831    ;
116    ,    0.958333333    3.317549946    225.3132441    42.22781526    19.8785436    20.89051704    ;
117    ,    0.966666667    2.866373784    244.8743997    42.22781526    19.6138308    20.94569831    ;
118    ,    0.975    3.359500102    227.2474968    42.22781526    19.8785436    20.89051704    ;
119    ,    0.983333333    2.012908811    233.2572257    42.22781526    19.7461872    20.94569831    ;
120    ,    0.991666667    2.881619125    228.6627215    42.22781526    19.8785436    20.89051704    ;
121    ,    1    2.447183056    226.4973092    42.22781526    19.8785436    20.94569831    ;
122    ,    1.008333333    2.793757149    242.1981567    42.22781526    19.6138308    20.89051704    ;
123    ,    1.016666667    2.44828891    234.153679    42.22781526    19.7461872    20.94569831    ;
124    ,    1.025    2.791233356    225.8855986    42.22781526    19.8785436    20.89051704    ;
125    ,    1.033333333    2.518940522    235.6353612    42.22781526    19.7461872    20.94569831    ;
126    ,    1.041666667    2.664997493    225.3132441    42.22781526    19.8785436    20.89051704    ;
127    ,    1.05    2.589807139    237.1145337    42.22781526    19.7461872    20.94569831    ;
128    ,    1.058333333    2.991051005    225.3132441    42.22781526    19.8785436    20.89051704    ;
129    ,    1.066666667    2.518492072    235.6353612    42.22781526    19.7461872    20.94569831    ;
130    ,    1.075    3.119798323    227.7038347    42.22781526    19.8785436    20.89051704    ;
131    ,    1.083333333    1.929125087    243.899134    42.22781526    19.6138308    20.94569831    ;
132    ,    1.091666667    2.572488876    226.7389856    42.22781526    19.8785436    20.89051704    ;
133    ,    1.1    1.818144792    236.2067448    42.5856781    19.7461872    20.94569831    ;
134    ,    1.108333333    3.084353074    229.4939053    42.22781526    19.8785436    20.90889315    ;
135    ,    1.116666667    2.025646134    235.6353612    42.22781526    19.7461872    20.94569831    ;
136    ,    1.125    3.010426083    226.7389856    42.22781526    19.8785436    20.89051704    ;
137    ,    1.133333333    2.094362574    243.9736061    42.22781526    19.6138308    20.94569831    ;
138    ,    1.141666667    2.808754986    228.1623122    42.22781526    19.8785436    20.89051704    ;
139    ,    1.15    2.518940522    234.7332353    42.22781526    19.7461872    20.94569831    ;
140    ,    1.158333333    2.754969957    235.9667525    42.5856781    19.7461872    20.89051704    ;
141    ,    1.166666667    2.433870063    240.2838723    42.5856781    19.6138308    20.94569831    ;
142    ,    1.175    2.643666769    227.2474968    42.22781526    19.8785436    20.89051704    ;
143    ,    1.183333333    2.502655718    233.2572257    42.22781526    19.7461872    20.94569831    ;
144    ,    1.191666667    2.588637364    228.1623122    42.22781526    19.8785436    20.89051704    ;
145    ,    1.2    2.094814043    244.8743997    42.22781526    19.6138308    20.94569831    ;
146    ,    1.208333333    2.773681997    226.2720261    42.22781526    19.8785436    20.89051704    ;
147    ,    1.216666667    2.013818832    239.1802757    42.22781526    19.6138308    20.90889315    ;
148    ,    1.225    2.73778385    238.0475808    42.22781526    19.7461872    20.9272869    ;
149    ,    1.233333333    1.929125087    243.1054593    42.22781526    19.6138308    20.90889315    ;
150    ,    1.241666667    2.571327448    222.4946523    42.22781526    20.0109    20.9272869    ;
151    ,    1.25    2.039283412    240.4031553    42.5856781    19.6138308    20.90889315    ;
152    ,    1.258333333    2.773681997    228.4915193    42.5856781    19.8785436    20.90889315    ;
153    ,    1.266666667    2.026561914    242.0189286    42.5856781    19.6138308    20.9272869    ;
154    ,    1.275    2.791233356    228.0622719    42.22781526    19.8785436    20.90889315    ;
155    ,    1.283333333    2.013818832    237.4012354    42.5856781    19.6138308    20.90889315    ;
156    ,    1.291666667    2.791233356    229.9373724    42.5856781    19.8785436    20.90889315    ;
157    ,    1.3    1.929125087    244.8743997    42.22781526    19.6138308    20.94569831    ;
158    ,    1.308333333    2.313039275    228.1623122    42.5856781    19.8785436    20.89051704    ;
159    ,    1.316666667    1.984204249    243.5381732    42.5856781    19.6138308    20.9272869    ;
160    ,    1.325    2.918536783    225.1917076    42.5856781    19.8785436    20.90889315    ;
161    ,    1.333333333    1.984204249    241.7366115    42.5856781    19.6138308    20.9272869    ;
162    ,    1.341666667    2.681861116    228.9713935    42.5856781    19.8785436    20.90889315    ;
163    ,    1.35    1.91622447    231.179522    42.5856781    19.7461872    20.90889315    ;
164    ,    1.358333333    2.627174996    230.2974141    42.22781526    19.8785436    20.9272869    ;
165    ,    1.366666667    1.830294706    242.8066869    42.5856781    19.6138308    20.90889315    ;
166    ,    1.375    2.540109584    228.7107419    42.22781526    19.8785436    20.94569831    ;
167    ,    1.383333333    2.03973488    242.6373923    42.22781526    19.6138308    20.9272869    ;
168    ,    1.391666667    1.957218742    221.0955992    42.22781526    20.0109    20.9272869    ;
169    ,    1.4    1.972275    241.123767    42.22781526    19.6138308    20.9272869    ;
170    ,    1.408333333    1.806434949    230.2974141    42.5856781    19.8785436    20.9272869    ;
171    ,    1.416666667    1.862803867    241.123767    42.5856781    19.6138308    20.9272869    ;
172    ,    1.425    1.795076031    230.1696918    42.5856781    19.8785436    20.94569831    ;
173    ,    1.433333333    1.917539434    239.3713216    42.22781526    19.6138308    20.89051704    ;
174    ,    1.441666667    1.782892487    220.100821    42.5856781    20.0109    20.94569831    ;
175    ,    1.45    2.246401484    239.3713216    42.5856781    19.6138308    20.89051704    ;
176    ,    1.458333333    1.740733779    228.3041518    42.5856781    19.8785436    20.94569831    ;
177    ,    1.466666667    1.7638876    240.8739461    42.5856781    19.6138308    20.89051704    ;
178    ,    1.475    1.621261789    225.9010358    42.5856781    19.8785436    20.94569831    ;
179    ,    1.483333333    2.06821022    239.2516179    42.5856781    19.6138308    20.90889315    ;
180    ,    1.491666667    1.642376588    228.8396813    42.5856781    19.8785436    20.94569831    ;
181    ,    1.5    1.643412949    244.3900506    42.22781526    19.6138308    20.94569831    ;
182    ,    1.508333333    1.945248584    226.4438073    42.5856781    19.8785436    20.9272869    ;
183    ,    1.516666667    1.653729275    245.9241796    42.5856781    19.6138308    20.94569831    ;
184    ,    1.525    1.958102787    230.1109945    42.5856781    19.8785436    20.94569831    ;
185    ,    1.533333333    1.643412949    243.3468195    42.5856781    19.6138308    20.94569831    ;
186    ,    1.541666667    1.513266191    226.8570268    42.5856781    19.8785436    20.94569831    ;
187    ,    1.55    2.027010566    241.6607171    42.5856781    19.6138308    20.90889315    ;
188    ,    1.558333333    1.522919343    228.673762    42.5856781    19.8785436    20.96427857    ;
189    ,    1.566666667    2.027010566    240.6937653    42.5856781    19.6138308    20.90889315    ;
190    ,    1.575    1.522919343    228.7335465    42.5856781    19.8785436    20.96427857    ;
191    ,    1.583333333    2.014264663    241.9915773    42.5856781    19.6138308    20.90889315    ;
192    ,    1.591666667    1.212096528    239.4396897    42.5856781    19.7461872    20.96427857    ;
193    ,    1.6    1.958987631    234.3358979    42.5856781    19.7461872    20.90889315    ;
194    ,    1.608333333    1.64267031    235.6353612    42.5856781    19.7461872    20.94569831    ;
195    ,    1.616666667    2.135516248    235.8187332    42.5856781    19.7461872    20.90889315    ;
196    ,    1.625    1.928704602    238.4637796    42.5856781    19.7461872    20.96427857    ;
197    ,    1.633333333    2.164260499    254.3257272    42.5856781    19.4814744    20.90889315    ;
198    ,    1.641666667    1.212096528    237.1145337    42.94354094    19.7461872    20.94569831    ;
199    ,    1.65    2.664997493    226.6282095    38.291324    19.8785436    20.90889315    ;
200    ,    1.658333333    1.377259346    236.6867959    43.30140378    19.7461872    20.9272869    ;
201    ,    1.666666667    2.501970736    228.4350194    42.94354094    19.8785436    20.90889315    ;
202    ,    1.675    1.588677383    240.2286055    42.94354094    19.6138308    20.9272869    ;
203    ,    1.683333333    2.407982269    231.6261641    43.30140378    19.8785436    20.94569831    ;
204    ,    1.691666667    1.697381142    232.5039527    43.30140378    19.7461872    20.9272869    ;
205    ,    1.7    2.501525308    226.6282095    42.5856781    19.8785436    20.90889315    ;
206    ,    1.708333333    1.764339069    245.413116    42.22781526    19.6138308    20.9272869    ;
207    ,    1.716666667    2.55586756    230.1696918    41.86995242    19.8785436    20.94569831    ;
208    ,    1.725    1.796699113    238.7180408    42.94354094    19.6138308    20.9272869    ;
209    ,    1.733333333    2.432770225    236.2983094    42.22781526    19.7461872    20.94569831    ;
210    ,    1.741666667    2.26005153    242.6373923    41.15422673    19.6138308    20.9272869    ;
